"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8"
"139";"RECORD";"1465986423";"Moufia Bois de Nefles";"2012-10-11T10:31:00Z";"2018-01-03T14:29:00Z";"-20.91731";"55.476445";"0"
"140";"RH_Avg";"1465986423";"Moufia Bois de Nefles";"2012-10-11T10:31:00Z";"2018-01-03T14:29:00Z";"-20.91731";"55.476445";"0"
"141";"FD_Avg";"1465986423";"Moufia Bois de Nefles";"2012-10-11T10:31:00Z";"2018-01-03T14:29:00Z";"-20.91731";"55.476445";"0"
"142";"Text_Avg";"1465986423";"Moufia Bois de Nefles";"2012-10-11T10:31:00Z";"2018-01-03T14:29:00Z";"-20.91731";"55.476445";"0"
"143";"FDnum_Avg";"1465986423";"Moufia Bois de Nefles";"2012-10-11T10:33:00Z";"2018-01-03T14:29:00Z";"-20.91731";"55.476445";"0"
"144";"Hamount_Avg";"1465986423";"Moufia Bois de Nefles";"2012-10-11T10:31:00Z";"2018-01-03T14:29:00Z";"-20.91731";"55.476445";"0"
"145";"Rain_Avg";"1465986423";"Moufia Bois de Nefles";"2012-10-11T10:31:00Z";"2018-01-03T14:29:00Z";"-20.91731";"55.476445";"0"
"146";"TinDL_Avg";"1465986423";"Moufia Bois de Nefles";"2012-10-11T10:31:00Z";"2018-01-03T14:29:00Z";"-20.91731";"55.476445";"0"
"147";"Patm_Avg";"1466062186";"Tampon UR";"2012-12-18T11:41:00Z";"2014-10-22T14:09:00Z";"-21.269277";"55.50702";"0"
"148";"Text_Avg";"1466062186";"Tampon UR";"2012-12-18T11:41:00Z";"2014-10-22T14:09:00Z";"-21.269277";"55.50702";"0"
"149";"WD_MeanVector";"1466062186";"Tampon UR";"2012-12-18T11:41:00Z";"2014-10-22T14:09:00Z";"-21.269277";"55.50702";"0"
"150";"FD_Avg";"1466062186";"Tampon UR";"2012-12-18T11:41:00Z";"2014-10-22T14:09:00Z";"-21.269277";"55.50702";"0"
"151";"Hamount_Avg";"1466062186";"Tampon UR";"2012-12-18T11:41:00Z";"2014-10-22T14:09:00Z";"-21.269277";"55.50702";"0"
"152";"Tenc_Avg";"1466062186";"Tampon UR";"2012-12-18T11:41:00Z";"2014-10-22T14:09:00Z";"-21.269277";"55.50702";"0"
"153";"WD_MeanUnitVector";"1466062186";"Tampon UR";"2013-04-22T09:25:00Z";"2013-10-14T09:57:00Z";"-21.269277";"55.50702";"0"
"154";"RH_Avg";"1466062186";"Tampon UR";"2012-12-18T11:41:00Z";"2014-10-22T14:09:00Z";"-21.269277";"55.50702";"0"
"155";"FG_Avg";"1466062186";"Tampon UR";"2012-12-18T11:41:00Z";"2014-10-22T14:09:00Z";"-21.269277";"55.50702";"0"
"156";"RECORD";"1466062186";"Tampon UR";"2012-12-18T11:41:00Z";"2014-10-22T14:09:00Z";"-21.269277";"55.50702";"0"
"157";"Rain_Avg";"1466062186";"Tampon UR";"2012-12-18T11:41:00Z";"2014-10-22T14:09:00Z";"-21.269277";"55.50702";"0"
"158";"TinDL_Avg";"1466062186";"Tampon UR";"2012-12-18T11:41:00Z";"2014-10-22T14:09:00Z";"-21.269277";"55.50702";"0"
"159";"battVolt_Avg";"1466062186";"Tampon UR";"2012-12-18T11:41:00Z";"2014-10-22T14:09:00Z";"-21.269277";"55.50702";"0"
"160";"FDnum_Avg";"1466062186";"Tampon UR";"2012-12-18T11:42:00Z";"2014-10-22T14:09:00Z";"-21.269277";"55.50702";"0"
"161";"WD_StdDev";"1466062186";"Tampon UR";"2012-12-18T11:41:00Z";"2014-10-22T14:09:00Z";"-21.269277";"55.50702";"0"
"162";"WS_Mean";"1466062186";"Tampon UR";"2012-12-18T11:41:00Z";"2014-10-22T14:09:00Z";"-21.269277";"55.50702";"0"
"163";"FGnum_Avg";"1466062186";"Tampon UR";"2012-12-18T11:42:00Z";"2014-10-22T14:09:00Z";"-21.269277";"55.50702";"0"
"164";"U_DLF_Avg";"1466063054";"Le Port";"2010-07-03T15:00:00Z";"2012-12-11T07:41:00Z";"-20.942363";"55.292019";"0"
"165";"Tdl";"1466063054";"Le Port";"2010-07-03T15:00:00Z";"2012-12-11T07:41:00Z";"-20.942363";"55.292019";"0"
"166";"RECORD";"1466063054";"Le Port";"2010-07-03T15:00:00Z";"2012-12-11T07:41:00Z";"-20.942363";"55.292019";"0"
"167";"Tcab";"1466063054";"Le Port";"2010-07-03T15:00:00Z";"2012-12-11T07:41:00Z";"-20.942363";"55.292019";"0"
"168";"FG";"1466063054";"Le Port";"2010-07-03T15:00:00Z";"2012-12-11T07:41:00Z";"-20.942363";"55.292019";"0"
"169";"FD";"1466063054";"Le Port";"2010-07-03T15:00:00Z";"2012-12-11T07:41:00Z";"-20.942363";"55.292019";"0"
"170";"CH200_Temp_Avg";"1506091350";"Saint Louis";"2016-11-02T13:02:50Z";"2016-12-07T15:02:00Z";"-21.271391";"55.43558";"152"
"171";"I_Batt_Avg";"1506091350";"Saint Louis";"2016-11-02T13:02:50Z";"2016-12-07T15:02:00Z";"-21.271391";"55.43558";"152"
"172";"PTemp_Avg";"1506091350";"Saint Louis";"2016-11-02T13:02:50Z";"2016-11-08T11:04:00Z";"-21.271391";"55.43558";"152"
"173";"DHI_SPN1_A330_Avg";"1506091350";"Saint Louis";"2016-11-02T13:02:50Z";"2016-12-07T15:02:00Z";"-21.271391";"55.43558";"152"
