POSTE;DATE;T;FF2;DD2;U;GLO
97413545;2011012318;;;;;
97413545;2011012319;;;;;
97413545;2011012320;;;;;
97413545;2011012321;;;;;
97413545;2011012322;;;;;
97413545;2011012323;;;;;
97413545;2011012400;;;;;
97413545;2011012401;;;;;
97413545;2011012402;;;;;
97413545;2011012403;;;;;
97413545;2011012404;;;;;
97413545;2011012405;;;;;
97413545;2011012406;;;;;
97413545;2011012407;;;;;
97413545;2011012408;;;;;
97413545;2011012409;;;;;
97413545;2011012410;;;;;
97413545;2011012411;;;;;
97413545;2011012412;;;;;
97413545;2011012413;;;;;
97413545;2011012414;;;;;
97413545;2011012415;;;;;
97413545;2011012416;;;;;
97413545;2011012417;;;;;
97413545;2011012418;;;;;
97413545;2011012419;;;;;
97413545;2011012420;;;;;
97413545;2011012421;;;;;
97413545;2011012422;;;;;
97413545;2011012423;;;;;
97413545;2011012500;;;;;
97413545;2011012501;;;;;
97413545;2011012502;;;;;
97413545;2011012503;;;;;
97413545;2011012504;;;;;
97413545;2011012505;;;;;
97413545;2011012506;;;;;
97413545;2011012507;;;;;
97413545;2011012508;;;;;
97413545;2011012509;;;;;
97413545;2011012510;;;;;
97413545;2011012511;;;;;
97413545;2011012512;;;;;
97413545;2011012513;;;;;
97413545;2011012514;;;;;
97413545;2011012515;;;;;
97413545;2011012516;;;;;
97413545;2011012517;;;;;
97413545;2011012518;;;;;
97413545;2011012519;;;;;
97413545;2011012520;;;;;
97413545;2011012521;;;;;
97413545;2011012522;;;;;
97413545;2011012523;;;;;
97413545;2011012600;;;;;
97413545;2011012601;;;;;
97413545;2011012602;;;;;
97413545;2011012603;;;;;
97413545;2011012604;;;;;
97413545;2011012605;;;;;
97413545;2011012606;;;;;
97413545;2011012607;;;;;
97413545;2011012608;;;;;
97413545;2011012609;;;;;
97413545;2011012610;;;;;
97413545;2011012611;;;;;
97413545;2011012612;;;;;
97413545;2011012613;;;;;
97413545;2011012614;;;;;
97413545;2011012615;;;;;
97413545;2011012616;;;;;
97413545;2011012617;;;;;
97413545;2011012618;;;;;
97413545;2011012619;;;;;
97413545;2011012620;;;;;
97413545;2011012621;;;;;
97413545;2011012622;;;;;
97413545;2011012623;;;;;
97413545;2011012700;;;;;
97413545;2011012701;;;;;
97413545;2011012702;;;;;
97413545;2011012703;;;;;
97413545;2011012704;;;;;
97413545;2011012705;;;;;
97413545;2011012706;;;;;
97413545;2011012707;;;;;
97413545;2011012708;;;;;
97413545;2011012709;;;;;
97413545;2011012710;;;;;
97413545;2011012711;;;;;
97413545;2011012712;;;;;
97413545;2011012713;;;;;
97413545;2011012714;;;;;
97413545;2011012715;;;;;
97413545;2011012716;;;;;
97413545;2011012717;;;;;
97413545;2011012718;;;;;
97413545;2011012719;;;;;
97413545;2011012720;;;;;
97413545;2011012721;;;;;
97413545;2011012722;;;;;
97413545;2011012723;;;;;
97413545;2011012800;;;;;
97413545;2011012801;;;;;
97413545;2011012802;;;;;
97413545;2011012803;;;;;
97413545;2011012804;;;;;
97413545;2011012805;;;;;
97413545;2011012806;;;;;
97413545;2011012807;;;;;
97413545;2011012808;;;;;
97413545;2011012809;;;;;
97413545;2011012810;;;;;
97413545;2011012811;;;;;
97413545;2011012812;;;;;
97413545;2011012813;;;;;
97413545;2011012814;;;;;
97413545;2011012815;;;;;
97413545;2011012816;;;;;
97413545;2011012817;;;;;
97413545;2011012818;;;;;
97413545;2011012819;;;;;
97413545;2011012820;;;;;
97413545;2011012821;;;;;
97413545;2011012822;;;;;
97413545;2011012823;;;;;
97413545;2011012900;;;;;
97413545;2011012901;;;;;
97413545;2011012902;;;;;
97413545;2011012903;;;;;
97413545;2011012904;;;;;
97413545;2011012905;;;;;
97413545;2011012906;;;;;
97413545;2011012907;;;;;
97413545;2011012908;;;;;
97413545;2011012909;;;;;
97413545;2011012910;;;;;
97413545;2011012911;;;;;
97413545;2011012912;;;;;
97413545;2011012913;;;;;
97413545;2011012914;;;;;
97413545;2011012915;;;;;
97413545;2011012916;;;;;
97413545;2011012917;;;;;
97413545;2011012918;;;;;
97413545;2011012919;;;;;
97413545;2011012920;;;;;
97413545;2011012921;;;;;
97413545;2011012922;;;;;
97413545;2011012923;;;;;
97413545;2011013000;;;;;
97413545;2011013001;;;;;
97413545;2011013002;;;;;
97413545;2011013003;;;;;
97413545;2011013004;;;;;
97413545;2011013005;;;;;
97413545;2011013006;;;;;
97413545;2011013007;;;;;
97413545;2011013008;;;;;
97413545;2011013009;;;;;
97413545;2011013010;;;;;
97413545;2011013011;;;;;
97413545;2011013012;;;;;
97413545;2011013013;;;;;
97413545;2011013014;;;;;
97413545;2011013015;;;;;
97413545;2011013016;;;;;
97413545;2011013017;;;;;
97413545;2011013018;;;;;
97413545;2011013019;;;;;
97413545;2011013020;;;;;
97413545;2011013021;;;;;
97413545;2011013022;;;;;
97413545;2011013023;;;;;
97413545;2011013100;;;;;
97413545;2011013101;;;;;
97413545;2011013102;;;;;
97413545;2011013103;;;;;
97413545;2011013104;;;;;
97413545;2011013105;;;;;
97413545;2011013106;;;;;
97413545;2011013107;;;;;
97413545;2011013108;;;;;
97413545;2011013109;;;;;
97413545;2011013110;;;;;
97413545;2011013111;;;;;
97413545;2011013112;;;;;
97413545;2011013113;;;;;
97413545;2011013114;;;;;
97413545;2011013115;;;;;
97413545;2011013116;;;;;
97413545;2011013117;;;;;
97413545;2011013118;;;;;
97413545;2011013119;;;;;
97413545;2011013120;;;;;
97413545;2011013121;;;;;
97413545;2011013122;;;;;
97413545;2011013123;;;;;
97413545;2011020100;;;;;
97413545;2011020101;;;;;
97413545;2011020102;;;;;
97413545;2011020103;;;;;
97413545;2011020104;;;;;
97413545;2011020105;;;;;
97413545;2011020106;;;;;
97413545;2011020107;;;;;
97413545;2011020108;;;;;
97413545;2011020109;;;;;
97413545;2011020110;;;;;
97413545;2011020111;;;;;
97413545;2011020112;;;;;
97413545;2011020113;;;;;
97413545;2011020114;;;;;
97413545;2011020115;;;;;
97413545;2011020116;;;;;
97413545;2011020117;;;;;
97413545;2011020118;;;;;
97413545;2011020119;;;;;
97413545;2011020120;;;;;
97413545;2011020121;;;;;
97413545;2011020122;;;;;
97413545;2011020123;;;;;
97413545;2011020200;;;;;
97413545;2011020201;;;;;
97413545;2011020202;;;;;
97413545;2011020203;;;;;
97413545;2011020204;;;;;
97413545;2011020205;;;;;
97413545;2011020206;;;;;
97413545;2011020207;;;;;
97413545;2011020208;;;;;
97413545;2011020209;;;;;
97413545;2011020210;;;;;
97413545;2011020211;;;;;
97413545;2011020212;;;;;
97413545;2011020213;;;;;
97413545;2011020214;;;;;
97413545;2011020215;;;;;
97413545;2011020216;;;;;
97413545;2011020217;;;;;
97413545;2011020218;;;;;
97413545;2011020219;;;;;
97413545;2011020220;;;;;
97413545;2011020221;;;;;
97413545;2011020222;;;;;
97413545;2011020223;;;;;
97413545;2011020300;;;;;
97413545;2011020301;;;;;
97413545;2011020302;;;;;
97413545;2011020303;;;;;
97413545;2011020304;;;;;
97413545;2011020305;;;;;
97413545;2011020306;;;;;
97413545;2011020307;;;;;
97413545;2011020308;;;;;
97413545;2011020309;;;;;
97413545;2011020310;;;;;
97413545;2011020311;;;;;
97413545;2011020312;;;;;
97413545;2011020313;;;;;
97413545;2011020314;;;;;
97413545;2011020315;;;;;
97413545;2011020316;;;;;
97413545;2011020317;;;;;
97413545;2011020318;;;;;
97413545;2011020319;;;;;
97413545;2011020320;;;;;
97413545;2011020321;;;;;
97413545;2011020322;;;;;
97413545;2011020323;;;;;
97413545;2011020400;;;;;0
97413545;2011020401;;;;;0
97413545;2011020402;;;;;0
97413545;2011020403;;;;;0
97413545;2011020404;;;;;0
97413545;2011020405;;;;;0
97413545;2011020406;;;;;6
97413545;2011020407;;;;;6
